label,comment,nonsw
2.0,sợ lém sợ lém,sợ lém sợ lém
2.0,mỗi lần thấy ảnh gia đình lại không cầm được nước mắt,ảnh gia đình cầm mắt
2.0,thực sự thì áp lực mình nhận nhiều nhất không đến từ ba mẹ mình mình có crush một bạn trong lớp được gần một năm rồi bạn ấy siu xinh luôn vào đầu năm cấp thì mình cực kỳ ham chơi không lo học nên thành tích cao ngời ngợi từ những năm trước hai lần lượt xuống dốc chính người con gái ấy đã giúp mình hoàn toàn thay đổi mình yêu cái cách mà cô ấy nói chuyện yêu cái cách cô ấy đối xử với người khác cũng như bản thân mình mặc dù có thể cô ấy không biết được tình cảm của mình nhưng mình lại không đủ dũng khí để nói ra và rồi một lần mình tháy được cô ấy khá thân mật với người con trai khác mà không phải mình lúc đấy mình hoàn toàn bối rối nghĩ mình nên tiến tiếp lùi lại hay chỉ dừng ở mức bạn thân bản thân mình là một người khá nhạy cảm với cảm xúc mình cứ nghĩ đi nghĩ lại rồi chợt bật khóc lúc nào không hay nếu cô ấy không thích mình và hẹn hò cũng một người con trai khác mình hoàn toàn ủng hộ và còn giúp đỡ cô ấy đến với người xứng đáng tất nhiên phải qua kiểm duyệt của mình nhưng nếu cô ấy hoàn toàn chấp nhận mình mình chắc chắn mình sẽ là người con trai hạnh phúc nhất trên đời này,áp lực mẹ crush lớp siu xinh đầu cực kỳ ham lo học thành tích ngời ngợi hai lượt dốc gái giúp yêu yêu đối xử mặc tình cảm dũng khí tháy thân mật trai đấy bối rối tiến tiếp lùi hay dừng thân nhạy cảm cảm xúc đi bật khóc thích hẹn hò trai ủng hộ giúp đỡ xứng tất nhiên kiểm duyệt chấp trai hạnh phúc đời
2.0,hay mà coii buồn quaaaa ạ,hay coii buồn quaaaa
2.0,để chuyển đổi từ giây sang năm chúng ta cần sử dụng các phép tính sau một phút có giây một giờ có phút một ngày có giờ một năm có ngày không tính năm nhuận do đó chúng ta có một phút giây một giờ phút giây một ngày giờ giây một năm ngày giây bây giờ chúng ta sẽ chia tỷ giây cho số giây trong một năm để ra số năm,đổi giây phép phút giây phút nhuận phút giây phút giây giây giây chia tỷ giây giây
2.0,tôi mệttt,mệttt
2.0,dân chủ tức là dân đồng ý chịu khổ và đồng ý với chính phủ đang làm và không biểu đi đòi tổng thống từ chức còn thực tế tui không biết gì nha,dân chủ tức dân đồng khổ đồng phủ biểu đi đòi tổng thống chức tui nha
2.0,oe là sao nữaaaa,oe sao nữaaaa
2.0,ông nọi mình vẫn còn chx mất những bà nọi mình thì,nọi chx mất nọi
2.0,làm gì giờ không ai chơi chung với gia đinh tháng này het làm ngày càng tệ ít người xem,gia đinh het tệ
2.0,mỗi lần nghĩ đến tuổi già của mẹ là lại rơi nước mắt,già mẹ rơi mắt
2.0,tội mấy đứa nhỏ chỉ toàn gặp ác mẫu,tội mấy đứa toàn ác mẫu
2.0,có hôm mượn bạn tiền chỉ để mua chai nước mắm,hôm mượn tiền mua chai mắm
2.0,cảm xúc mình hỗn độn sau khi thi xong mình cứ luôn dằn vặt những lỗi sai vớ vẩn tớ mắc kẹt trong dòng suy nghĩ tớ cảm thấy bản thân kém cỏi tớ buồn lắm mọi người hỏi tớ có thi tốt không ổn không tớ cũng chỉ biết giả bộ ổn rồi liên tục cười để quên đi nỗi dằn vặt ấy tớ thật sự mệt thật sự mắc kẹt tớ muốn thoát ra lắm nhưung chừng nào chưa biết điểm tớ còn cảm giác tội lỗi sâu thẳm trong mình tớ không biết ph làm sao nữa cứu tớ với,cảm xúc hỗn độn thi xong dằn vặt lỗi sai vớ vẩn mắc kẹt dòng suy kém cỏi buồn lắm thi ổn giả ổn liên tục cười quên đi nỗi dằn vặt mệt mắc kẹt thoát lắm nhưung chừng chưa cảm giác tội lỗi sâu thẳm ph cứu
2.0,tôi đang tuổi mong sau khi năm nữa tôi tuổi cuộc sống sẽ khác,mong sống
2.0,sợ phim xsợ nhạc,sợ phim xsợ nhạc
2.0,học hoài mà điểm vẫn thấp,học hoài
2.0,tôi chẳng còn bạn thân để tâm sự,chẳng thân tâm
2.0,bà mình mất gần năm rồi,mất
2.0,sao có chuyên đau lòng quá vây xin chia buồn cùng gia dình cháu,sao chuyên đau vây chia buồn gia dình cháu
2.0,bố mẹ gọi nói nhà có giỗ mà chỉ biết ậm ừ cho qua,bố mẹ gọi giỗ ậm
2.0,có người yêu thương ở quê mà lại phải sống cô đơn nơi phố,yêu thương quê sống đơn phố
2.0,kim pải xem lại đừng quá côn đồ,kim pải đừng côn đồ
2.0,dọa dẫm thôi rồi ít nhiều cũng có trả lại ít mà giảm án chết là hết xóa ai đúng ai sai,dọa dẫm án chết xóa sai
2.0,gia đình thật quá biến thái,gia đình biến thái
2.0,nge không lối ra,nge lối
2.0,ở quê có nghèo nhưng còn có tiếng cười còn ở đây chỉ có sự chịu đựng,quê nghèo tiếng cười đựng
2.0,trước đây barca không quyết liệt giữ chân được xavi simons là sai lầm,barca quyết liệt chân xavi simons sai lầm
2.0,sống giữa người dưng chẳng bằng được một ánh mắt của mẹ,sống dưng chẳng ánh mắt mẹ
2.0,thèm cảm giác ngủ trưa bên tiếng quạt mo và tiếng chim hót,thèm cảm giác ngủ trưa tiếng quạt mo tiếng chim hót
2.0,bởi việt nam gì cũng có nên giò ai cũng nói việt nam giò nhiều đại gia nhiều người giầu hồi xưa rất ít giò hiểu tại sao thời nay khác ngày xưa ròi chứ mọi người,việt nam giò việt nam giò đại gia giầu hồi xưa giò thời ròi
2.0,giấc mơ đêm qua lại thấy người đó đứng cười,giấc mơ đêm đứng cười
2.0,thật sự mình thấy dạo này toàn mấy tin thông báo về sức khỏe của học sinh không tốt chứng tỏ học sinh ngày nay ít hoạt động thể thao đi chơi đây đó nên mới có những trường hợp như vậy thật đáng sợ bệnh tật đang ngày càng được trẻ hóa mong em học sinh trong video siêu sanh giải thoát xin chia buồn cùng gia đình em,dạo toàn mấy thông báo sức khỏe học sinh chứng tỏ học sinh hoạt động thể thao đi trường hợp sợ bệnh tật trẻ hóa mong học sinh video siêu sanh giải thoát chia buồn gia đình
2.0,khi gặp áp lực chênh vênh trong công việc cuộc sống và tình cảm thì cô gái bên tôi bao nhiêu năm chọn thứ dể buôn bỏ nhất là tình cảm và tìm được giải phảt vẹn đôi đường là tìm ai đó giàu có hơn,áp lực chênh vênh công sống tình cảm gái dể buôn tình cảm giải phảt vẹn đôi đường giàu
2.0,bước ra khỏi cổng trọ là áp lực đè nặng lên vai,cổng trọ áp lực đè vai
2.0,bởi vậy giờ lớp lớp là các cháu mất trinh hết rồi bầu bì đẻ chữa chây chét tùm lum đẻ con gái rất khổ,lớp lớp cháu mất trinh bầu bì đẻ chữa chây chét tùm lum đẻ gái khổ
2.0,làm được tiền nhưng lòng thì cạn dần cảm xúc,tiền cạn dần cảm xúc
2.0,dân khổ dân đối là trách nhiệm của lãnh đạo,dân khổ dân đối trách nhiệm lãnh đạo
