label,comment
2.0,chú ủn đừng có liều mạng mà chết thê thảm
2.0,tôi cũng đang bị rối loạn lo âu
2.0,tôi thấy mình là gánh nặng gia đình
2.0,mong bề trên che chở cho em mau hết bệnh
2.0,giống nước nào gần đây ta
2.0,đôi khi chỉ cần một tiếng gọi tên thân thuộc mà cũng không có
2.0,bố mẹ gọi nói nhà có giỗ mà chỉ biết ậm ừ cho qua
2.0,
2.0,một tô mì ăn dở dang cũng khiến mình rơi nước mắt vì tủi
2.0,có hôm phải lựa mì gói khuyến mãi cho đủ tiền xài cả tuần
2.0,cuối cùng thì tất cả mọi người đi về nghĩa trang thôi
2.0,con cá lóc nó đâu dính dáng gì trời
2.0,tôi nhớ ông bà nhưng không được về thăm
2.0,mỗi lần nhớ người đã mất tim lại đau nhói
2.0,mình đã từng bị trầm cảm do phải đi học thêm quá nhiều áp lực điểm số và câu nói huyền thoại mà bô mẹ hay dùng chình lạ mày nhìn con nhà người ta đi nó học giải như thế đấy còn mày chả được tích sự gì lúc đó mình cảm thấy không muốn sống nữa áp lực thật sự
2.0,quá khó để lật kèo này
2.0,ngày thi cũng là ngày nhịn đói vì không còn tiền
2.0,chẳng điều gì làm tớ quá buồn cũng chẳng quá vui tớ vẫn luôn cười nhưng khi một mình tớ sẽ tự ôm lấy mình ngồi cuộn tròn
2.0,đôi lúc không biết mình cố gắng vì điều gì giữa chốn bon chen này
2.0,có con với nhân tình thì ta không thể chấp nhận được
2.0,ăn nhiều tiền quá
2.0,mỗi kỳ thi là một nỗi lo
2.0,lúc này chỉ muốn được nghe những lời an ủi này thật sự lúc nào cũng bế tắc và mệt mỏi như thế này thời điểm này thật tồi tệ
2.0,khúc cuối buồn thật sự
2.0,học phí tăng mà học chẳng thấy tương lai
2.0,người chị cả chăm lo gia đình giờ không còn
2.0,mỗi khi nhìn ảnh người ấy nước mắt lại rơi
2.0,em bị trào ngược dạ dày nhưng đầu óc lúc nào cũng sợ bị bệnh lên gg tìm kiếm bệnh cách chữa hỏi người khác có bị giống mình không có khi hồi hộp tim đập nhanh lúc nào cũng không thấy vui vẻ buồn bực bồn chồn
2.0,cung nho co phước nghiem may moi co tien de sinh sống mong may hay noi su that dung de mang hoa vào than
2.0,có lần bệnh không dám đi viện chỉ nằm khóc vì nhớ mẹ
2.0,sao không vứt điện thoại
2.0,có người yêu thương ở quê mà lại phải sống cô đơn nơi phố
2.0,trời ơi lớp học hay là cái đám cưới
2.0,thành phố nhiều xe nhiều người nhưng không ai quan tâm nhau
2.0,thay huyen hom nay khoe ai cung vui mong em huyen khoe lai de di lam nuoi con me gia vu chi mong em yeu thuong huyen
2.0,năm ngoái em có học lớp tại trg này nghe tin có em lớp bị bất tỉnh nhg có bạn bảo hết hôn mê rồi thì nghĩ không sao nhg ai ngờ
2.0,trước tầm cấp cả trường tui có cả tui từng chứng kiến ông chơi ngu nhảy từ tầng của trường xuống ಡ ʖ ಡ
2.0,cho hỏi thuốc này bán thế nào vậy bác
2.0,đ
2.0,cách tạm biệt lỗi lo bớt mong cầu và bớt tránh né bạn phải có kinh nhiệm đối ứng và bạn phải có trí tuệ bạn phải tự tin hoặc là bạn phải có sức chịu đựng bạn có khả năng hài lòng với những gì mình đang có
2.0,tôi thấy mình thua kém mọi người
2.0,cuộc sống nơi đây không làm tôi mạnh mẽ chỉ khiến tôi chai lì
2.0,tôi nghĩ lên xe nào cũng chết cả thôi
2.0,tại sao lại có những người thích phán xét sở thích của người khác ạ nếu họ không thích có thể rời đi mà tại sao lại buông ra những lời cay nghiệt phán xét theo khía cạnh của họ em đã cố không quan tâm nhưng đã nghe rồi thì sao mà không tổn thương được chứ ạ em thích nghe podcast của vì sao thế nhỉ nhưng khi họ tình cờ biết được em nghe podcast người đó lại cho rằng nó thật nhảm nhỉ không cần thiết em em còn không biết chửi thề không biết phải làm sao để mất đi sự đau khổ này
2.0,em từng học trường này từ lớp đến lớp nhưng lớp chỉ học mấy tháng đầu
2.0,cuộc sống ở thành phố nhưng lòng luôn nhớ quê
2.0,những trẻ em đến từ natoo
2.0,qua bai viet ve người bo người bo co người ban that tiyet voi va toi cung co người ban nhu vay hon ca người chong cua toi va dua toi không ai thay doi ve tinh net va chinh vi dieu do moi khi toi len con dong kinh va giang chinh la người tuyệt vời mhat
2.0,chẳng điều gì làm tớ quá buồn cũng chẳng quá vui tớ vẫn luôn cười nhưng khi một mình tớ sẽ tự ôm lấy mình ngồi cuộn tròn
2.0,buồn quá không biết bao giờ cháu mới tỉnh lại
2.0,nếu em quyền có căn nhà sạch sẽ là em quyền mạnh khỏe cầu trời cho em quyền hết bệnh
2.0,bố mẹ gọi nói nhà có giỗ mà chỉ biết ậm ừ cho qua
2.0,sao gia đình dóng như gia đình g i ế t người v
2.0,cảm ơn bạn rất nhiều
2.0,heo mọi
2.0,giữa phố phường nhộn nhịp thấy mình lạc lõng như chiếc lá rơi giữa dòng xe
2.0,tôi thường khóc một mình trong phòng
2.0,cảm xúc mình hỗn độn sau khi thi xong mình cứ luôn dằn vặt những lỗi sai vớ vẩn tớ mắc kẹt trong dòng suy nghĩ tớ cảm thấy bản thân kém cỏi tớ buồn lắm mọi người hỏi tớ có thi tốt không ổn không tớ cũng chỉ biết giả bộ ổn rồi liên tục cười để quên đi nỗi dằn vặt ấy tớ thật sự mệt thật sự mắc kẹt tớ muốn thoát ra lắm nhưung chừng nào chưa biết điểm tớ còn cảm giác tội lỗi sâu thẳm trong mình tớ không biết ph làm sao nữa cứu tớ với
2.0,hay ghe
2.0,cũng vừa thôi tiền mà dùng như thế thì
2.0,em cảm ơn chị vy rất nhiểu à đến m này em đi học lại sau tuần nghỉ tết nên em đang cảm thấy chán nản lắm
2.0,nhái hôn nhân có gì vui
2.0,không lo bảo toàn tính mạng còn đi làm
2.0,mẹ chồng cứ hỏi mà không biết trả lời sao
2.0,mỗi bữa ăn không còn giọng nói thân quen
2.0,cái tên dora đọc thêm
2.0,có đoạn đông phai mờ dáng ai mê vãi
2.0,mỗi đồng chi ra đều phải tính toán ghi chép cẩn thận
2.0,nhiều lúc ước có đứa con để ôm vào lòng
2.0,bước ra khỏi cổng trọ là áp lực đè nặng lên vai
2.0,cuộc sống chẳng còn ý nghĩa từ khi người đó rời đi
2.0,người từng là cả thế giới giờ đã đi xa
2.0,tôi mới nghe lần đầu nuưng vấn đề tôi cũng khác đều thầy nói nhưng muốn tâm sự và được nói trực tiếp với thầy
2.0,heo mọi
2.0,mỗi lần thấy ảnh gia đình lại không cầm được nước mắt
2.0,mỗi lần họp gia đình là tôi lại lo sợ
2.0,đôi dép rách tôi vẫn đi vì tiền đó dành đóng học phí
2.0,mình xem mà rơi lệ
2.0,uae ôtô ưu tin trách tức trên tin trách tao isco
2.0,nhà truong giờ là vậy không có quan tâm hoc sinh đâu không để y coi sức khỏe be như thế nào xong rồi mấy mẹ máy cha bỏ thí chứ tham hỏi từ đầu từ bé thi von người ta không ra đi như vậy
2.0,ê má khúc đầu tức con nv vãi
2.0,nam mô bổn sư thích ca mâu ni phậtxin tri ân thầy
2.0,shốp ơi ghép nhạc tết vào được không em sợ quá em đang ở nhà một mình còn gặp ví dụ của shốp
2.0,tôi cũng bi vo tôi vô tội buôn tôm nha chú đề lần vì ông đồ đảm chuyên sản xô khách hàng là nuvo tôi là cháu vẫn bị chu ngoài tihnen tôi khó lam
2.0,mỗi lần mở hộp thư là mong có thư tay từ mẹ nhưng chẳng bao giờ có
2.0,được năm sau cưới
2.0,fm bọn sữa làm giả và những người quản lý tiếp tay
2.0,tôi thấy mình là gánh nặng gia đình
2.0,anh ấy từng lấy tôi lên khỏi hố đen của mình và rồi cứ vậy mùa xuân năm ấy tôi với anh ở bên nhau đến khi dừng lại vờ như tôi không yêu anh ấy nhưng rồi giờ tôi nhận ra tôi yêu anh đến nhường nào lòng tôi đau như thắt lại và muốn anh lại về bên tôi lần nữa tôi đã có nhưng thứ tôi đã luôn cố để có nhưng anh thì không
2.0,thương em trai vủ ghê cam ơn mtq giúp huyền
2.0,biến cố xảy ra khiến mình đứng hình muốn dừng lại rồi
2.0,hay bạn làm tập full nữa xong rồi cho tất cả quay lại với nhau đi nhóm của gấu ngốc
2.0,quá mệt mỏi ở thời điểm hiện tại
2.0,tiền điện nước tăng bất ngờ là cả một nỗi lo sợ
2.0,mỗi sáng thức dậy trong căn phòng trọ ẩm thấp lại thấy lòng trống rỗng
2.0,mình bị rối loạn lo âu bệnh tật luôn nghĩ mình có bệnh mệt mỏi mất ngủ ngủ không sâu giấc năm nay rất khổ
2.0,nỗi đau mất người thân không thể diễn tả thành lời
2.0,tin phút ơi em coi mà buồn quá tại em cũng bị mất ngoại nội hết rồi
2.0,tôi đã hiểu tại sao hồi tôi tuổi có đứa trong lớp tôi khóc vì chỉ có
