label,comment,tokens
2.0,sợ lém sợ lém,sợ lém sợ lém
2.0,mỗi lần thấy ảnh gia đình lại không cầm được nước mắt,mỗi lần thấy ảnh gia_đình lại không cầm được nước_mắt
2.0,thực sự thì áp lực mình nhận nhiều nhất không đến từ ba mẹ mình mình có crush một bạn trong lớp được gần một năm rồi bạn ấy siu xinh luôn vào đầu năm cấp thì mình cực kỳ ham chơi không lo học nên thành tích cao ngời ngợi từ những năm trước hai lần lượt xuống dốc chính người con gái ấy đã giúp mình hoàn toàn thay đổi mình yêu cái cách mà cô ấy nói chuyện yêu cái cách cô ấy đối xử với người khác cũng như bản thân mình mặc dù có thể cô ấy không biết được tình cảm của mình nhưng mình lại không đủ dũng khí để nói ra và rồi một lần mình tháy được cô ấy khá thân mật với người con trai khác mà không phải mình lúc đấy mình hoàn toàn bối rối nghĩ mình nên tiến tiếp lùi lại hay chỉ dừng ở mức bạn thân bản thân mình là một người khá nhạy cảm với cảm xúc mình cứ nghĩ đi nghĩ lại rồi chợt bật khóc lúc nào không hay nếu cô ấy không thích mình và hẹn hò cũng một người con trai khác mình hoàn toàn ủng hộ và còn giúp đỡ cô ấy đến với người xứng đáng tất nhiên phải qua kiểm duyệt của mình nhưng nếu cô ấy hoàn toàn chấp nhận mình mình chắc chắn mình sẽ là người con trai hạnh phúc nhất trên đời này,thực_sự thì áp_lực mình nhận nhiều nhất không đến từ ba_mẹ mình mình có crush một bạn trong lớp được gần một năm rồi bạn ấy siu_xinh luôn vào đầu năm cấp thì mình cực_kỳ ham chơi không lo học nên thành_tích cao ngời_ngợi từ những năm trước hai lần_lượt xuống_dốc chính người con gái ấy đã giúp mình hoàn_toàn thay_đổi mình yêu cái cách mà cô ấy nói_chuyện yêu cái cách cô ấy đối_xử với người khác cũng như bản_thân mình mặc_dù có_thể cô ấy không biết được tình_cảm của mình nhưng mình lại không đủ dũng_khí để nói ra và rồi một lần mình tháy được cô ấy khá thân_mật với người con trai khác mà không phải mình lúc đấy mình hoàn_toàn bối_rối nghĩ mình nên tiến tiếp lùi lại hay chỉ dừng ở mức bạn thân bản_thân mình là một người khá nhạy_cảm với cảm_xúc mình cứ nghĩ đi nghĩ_lại rồi chợt bật khóc lúc_nào không hay nếu cô ấy không thích mình và hẹn_hò cũng một người con trai khác mình hoàn_toàn ủng_hộ và còn giúp_đỡ cô ấy đến với người xứng_đáng tất_nhiên phải qua kiểm_duyệt của mình nhưng nếu cô ấy hoàn_toàn chấp_nhận mình mình chắc_chắn mình sẽ là người con trai hạnh_phúc nhất trên đời này
2.0,hay mà coii buồn quaaaa ạ,hay mà coii buồn quaaaa ạ
2.0,để chuyển đổi từ giây sang năm chúng ta cần sử dụng các phép tính sau một phút có giây một giờ có phút một ngày có giờ một năm có ngày không tính năm nhuận do đó chúng ta có một phút giây một giờ phút giây một ngày giờ giây một năm ngày giây bây giờ chúng ta sẽ chia tỷ giây cho số giây trong một năm để ra số năm,để chuyển_đổi từ giây sang_năm chúng_ta cần sử_dụng các phép_tính sau một phút có giây một giờ có phút một ngày có giờ một năm có ngày không tính năm_nhuận do_đó chúng_ta có một phút_giây một giờ_phút_giây một ngày_giờ giây một năm ngày giây bây_giờ chúng_ta sẽ chia tỷ_giây cho số giây trong một năm để ra số năm
2.0,tôi mệttt,tôi mệttt
2.0,dân chủ tức là dân đồng ý chịu khổ và đồng ý với chính phủ đang làm và không biểu đi đòi tổng thống từ chức còn thực tế tui không biết gì nha,dân_chủ tức_là dân đồng_ý chịu khổ và đồng_ý với chính_phủ đang làm và không biểu_đi đòi tổng_thống từ_chức còn thực_tế tui không biết gì nha
2.0,oe là sao nữaaaa,oe là sao nữaaaa
2.0,ông nọi mình vẫn còn chx mất những bà nọi mình thì,ông nọi mình vẫn còn chx mất những bà nọi mình thì
2.0,làm gì giờ không ai chơi chung với gia đinh tháng này het làm ngày càng tệ ít người xem,làm gì giờ không ai chơi chung với gia_đinh tháng này het làm ngày_càng tệ ít người xem
